Year,DescrRegione,Genere,Occupati,MacroRegione,Percentage,PercentageOccupati,SummarisedCount
2019,Toscana,M,866933,Centro,0.024461020966589402,0.03561636251013631,Moderate (10001-50000)
2019,Total,F,9773767,Total,0.1789630624878198,0.023113299099518134,Extremely High (200001+)
2019,Total,M,13335638,Total,0.32103693751218015,0.03038797243896392,Extremely High (200001+)
2019,Trentino Alto Adige,F,226964,NordEst,0.0058781868566276955,0.0326924093688867,Low (1001-10000)
2019,Trentino Alto Adige,M,273202,NordEst,0.01347863492973903,0.06227626444901575,Moderate (10001-50000)
2019,Umbria,F,160589,Centro,0.0030793143277239687,0.02420464664453979,Low (1001-10000)
2019,Umbria,M,197690,Centro,0.005329186386055863,0.034028023673428096,Low (1001-10000)
2019,Valle D'Aosta,F,25777,NordOvest,0.000468195206504982,0.022927415913411176,Very low (1-1000)
2019,Valle D'Aosta,M,29422,NordOvest,0.0006781304513845419,0.029093875331384682,Very low (1-1000)
2019,Veneto,F,927451,NordEst,0.019882848211272487,0.027061267926823084,Moderate (10001-50000)
2019,Veneto,M,1226206,NordEst,0.041452308257822666,0.04267227529468947,High (50001-100000)
2020,Abruzzo,F,188399,Sud,0.004084237623832979,0.02432072357071959,Low (1001-10000)
2020,Abruzzo,M,286962,Sud,0.005853598532455516,0.022884563112886024,Low (1001-10000)
2020,Basilicata,F,67395,Sud,0.001374485904834232,0.02288003561095037,Low (1001-10000)
2020,Basilicata,M,116300,Sud,0.002141951769984864,0.02066208082545142,Low (1001-10000)
2020,Calabria,F,182110,Sud,0.002215043757142067,0.013645598813903682,Low (1001-10000)
2020,Calabria,M,331724,Sud,0.004279446711484534,0.014472875040696482,Low (1001-10000)
2020,Campania,F,551025,Sud,0.0068278612393192105,0.013901365636767842,Low (1001-10000)
2020,Campania,M,1018794,Sud,0.01312625125459722,0.014454345039330817,Moderate (10001-50000)
2020,Emilia Romagna,F,878847,NordEst,0.025391443245854704,0.032412922840949564,Moderate (10001-50000)
2020,Emilia Romagna,M,1087391,NordEst,0.03745964341806656,0.03864755180059426,Moderate (10001-50000)
2020,Friuli Venezia Giulia,F,221290,NordEst,0.0061406182869020946,0.03113109494328709,Low (1001-10000)
2020,Friuli Venezia Giulia,M,284926,NordEst,0.007858279985096367,0.030941367232193623,Low (1001-10000)
2020,Lazio,F,983371,Centro,0.01435990137929928,0.016382423317344116,Moderate (10001-50000)
2020,Lazio,M,1275414,Centro,0.018707091883758784,0.016455049105623742,Moderate (10001-50000)
2020,Liguria,F,257227,NordOvest,0.007789644826424358,0.03397388299051033,Low (1001-10000)
2020,Liguria,M,322290,NordOvest,0.009395885812488748,0.03270656861832512,Moderate (10001-50000)
2020,Lombardia,F,1883528,NordOvest,0.04807937433258993,0.02863721696730816,High (50001-100000)
2020,Lombardia,M,2431609,NordOvest,0.054476705940239276,0.0251339750757626,High (50001-100000)
2020,Marche,F,267587,Centro,0.00566997719886547,0.023771707893133823,Low (1001-10000)
2020,Marche,M,344230,Centro,0.008601678976426943,0.028033582197949047,Low (1001-10000)
2020,Molise,F,40588,Sud,0.000524123029858968,0.014487040504582636,Very low (1-1000)
2020,Molise,M,63391,Sud,0.000848580143581186,0.01501790474988563,Very low (1-1000)
2020,Piemonte,F,777478,NordOvest,0.02422197145133945,0.03495147129565081,Moderate (10001-50000)
2020,Piemonte,M,970690,NordOvest,0.02093283202926532,0.024193099753783393,Moderate (10001-50000)
2020,Puglia,F,423620,Sud,0.008256720451672826,0.021866295264623956,Low (1001-10000)
2020,Puglia,M,764492,Sud,0.014240458375896046,0.020897537188093528,Moderate (10001-50000)
2020,Sardegna,F,236978,0,0.0,0.0,No injuries
2020,Sardegna,M,314762,0,0.0,0.0,No injuries
2020,Sicilia,F,468297,Sud,0.0070310926182441166,0.0168440113859367,Low (1001-10000)
2020,Sicilia,M,837007,Sud,0.013165471345266936,0.017646208454648527,Moderate (10001-50000)
2020,Toscana,F,691159,Centro,0.015987535142092606,0.025950613389972496,Moderate (10001-50000)
2020,Toscana,M,853308,Centro,0.020877567356048895,0.027448471126486566,Moderate (10001-50000)
2020,Total,F,9397844,Total,0.21416932739327238,0.02556660868173594,Extremely High (200001+)
2020,Total,M,12987414,Total,0.2858306726067277,0.0246905196061356,Extremely High (200001+)
2020,Trentino Alto Adige,F,218311,NordEst,0.007741511078784249,0.03978269532914054,Low (1001-10000)
2020,Trentino Alto Adige,M,267864,NordEst,0.012225080534890728,0.05120135591195532,Moderate (10001-50000)
2020,Umbria,F,156729,Centro,0.0026446820231148947,0.018930765844227936,Low (1001-10000)
2020,Umbria,M,191635,Centro,0.004509419061320612,0.026399144206434105,Low (1001-10000)
2020,Valle D'Aosta,F,24903,NordOvest,0.000817382344184819,0.036822872746255474,Very low (1-1000)
2020,Valle D'Aosta,M,28200,NordOvest,0.000698830706478624,0.027801418439716313,Very low (1-1000)
2020,Veneto,F,879002,NordEst,0.025011721458916062,0.031922566729085944,Moderate (10001-50000)
2020,Veneto,M,1196425,NordEst,0.03643189876938052,0.03416177361723468,Moderate (10001-50000)
2021,Abruzzo,F,193246,Sud,0.003950535569287637,0.02260848866211979,Low (1001-10000)
2021,Abruzzo,M,291141,Sud,0.006515806663375308,0.024750893896771663,Low (1001-10000)
2021,Basilicata,F,71774,Sud,0.0013436703721587159,0.0207038760553961,Low (1001-10000)
2021,Basilicata,M,117292,Sud,0.002422404392337281,0.02284043242505883,Low (1001-10000)
2021,Calabria,F,188903,Sud,0.002405224219341981,0.014081300985161698,Low (1001-10000)
2021,Calabria,M,332060,Sud,0.0047905556067946685,0.01595494790098175,Low (1001-10000)
2021,Campania,F,561556,Sud,0.0061089078292761,0.012030857118435203,Low (1001-10000)
2021,Campania,M,1030539,Sud,0.0122865363505334,0.013185333112089888,Moderate (10001-50000)
2021,Emilia Romagna,F,880939,NordEst,0.024059475950470467,0.03020413445198816,Moderate (10001-50000)
2021,Emilia Romagna,M,1097504,NordEst,0.04373981622640213,0.044075465784179375,Moderate (10001-50000)
2021,Friuli Venezia Giulia,F,225247,NordEst,0.005560950732689167,0.02730336031112512,Low (1001-10000)
2021,Friuli Venezia Giulia,M,285053,NordEst,0.008886670536726688,0.03447779886547414,Low (1001-10000)
2021,Lazio,F,988581,Centro,0.013911419028036234,0.015562710592252935,Moderate (10001-50000)
2021,Lazio,M,1277166,Centro,0.02018489483021468,0.017478542335138892,Moderate (10001-50000)
2021,Liguria,F,263270,NordOvest,0.00681691180060872,0.02863600106354693,Low (1001-10000)
2021,Liguria,M,331330,NordOvest,0.010536871363906807,0.03517037394742402,Moderate (10001-50000)
2021,Lombardia,F,1905304,NordOvest,0.03501771366257778,0.020325890251634383,Moderate (10001-50000)
2021,Lombardia,M,2427213,NordOvest,0.06070659338870774,0.027660118827643063,High (50001-100000)
2021,Marche,F,267301,Centro,0.005414467152413453,0.022401711927751856,Low (1001-10000)
2021,Marche,M,349261,Centro,0.00946898797930422,0.029983307612358664,Moderate (10001-50000)
2021,Molise,F,37198,Sud,0.000620294667093458,0.018441851712457654,Very low (1-1000)
2021,Molise,M,63078,Sud,0.00094943061289815,0.016646057262436984,Low (1001-10000)
2021,Piemonte,F,782823,NordOvest,0.015752410197427312,0.022254072759742623,Moderate (10001-50000)
2021,Piemonte,M,984477,NordOvest,0.02208646871490497,0.02481114337866705,Moderate (10001-50000)
2021,Puglia,F,437889,Sud,0.007692196403737682,0.019427297785511846,Low (1001-10000)
2021,Puglia,M,768872,Sud,0.014773140336695223,0.021249310678500454,Moderate (10001-50000)
2021,Sardegna,F,240946,0,0.0,0.0,No injuries
2021,Sardegna,M,322251,0,0.0,0.0,No injuries
2021,Sicilia,F,469661,Sud,0.007446248664015494,0.017533923404327804,Low (1001-10000)
2021,Sicilia,M,841203,Sud,0.014392463871904631,0.018921710930655266,Moderate (10001-50000)
2021,Toscana,F,694121,Centro,0.015015471197892084,0.02392378274104947,Moderate (10001-50000)
2021,Toscana,M,852161,Centro,0.0243840907981185,0.031645428504707446,Moderate (10001-50000)
2021,Total,F,9510352,Total,0.1821559489513765,0.021182286418000087,Extremely High (200001+)
2021,Total,M,13043604,Total,0.3178440510486235,0.026948993545035563,Extremely High (200001+)
2021,Trentino Alto Adige,F,218097,NordEst,0.006076355922548163,0.030811978156508338,Low (1001-10000)
2021,Trentino Alto Adige,M,268984,NordEst,0.013481914703153736,0.055430806293311125,Moderate (10001-50000)
2021,Umbria,F,158790,Centro,0.0029396180214589403,0.02047358145978966,Low (1001-10000)
2021,Umbria,M,195459,Centro,0.005279738427345049,0.02987327265564645,Low (1001-10000)
2021,Valle D'Aosta,F,24950,NordOvest,0.000500033456126359,0.02216432865731463,Very low (1-1000)
2021,Valle D'Aosta,M,27791,NordOvest,0.000702578653544631,0.02795869166276852,Very low (1-1000)
2021,Veneto,F,899756,NordEst,0.02152404410421674,0.026456061421096383,Moderate (10001-50000)
2021,Veneto,M,1180769,NordEst,0.04225508759175569,0.03957675040587956,Moderate (10001-50000)
2022,Abruzzo,F,195905,Sud,0.005154571862204256,0.03626757867333657,Low (1001-10000)
2022,Abruzzo,M,286944,Sud,0.006318250013784218,0.030350869856139176,Low (1001-10000)
2022,Basilicata,F,69983,Sud,0.001197775952779623,0.023591443636311674,Low (1001-10000)
2022,Basilicata,M,118778,Sud,0.0019087513820491761,0.022150566603243025,Low (1001-10000)
2022,Calabria,F,192999,Sud,0.002830117499571963,0.02021253996134696,Low (1001-10000)
2022,Calabria,M,335975,Sud,0.00462496771591163,0.01897462608825061,Low (1001-10000)
2022,Campania,F,579919,Sud,0.009960910861092812,0.02367572022989417,Moderate (10001-50000)
2022,Campania,M,1061381,Sud,0.014286978702658468,0.018554129007396968,Moderate (10001-50000)
2022,Emilia Romagna,F,898132,NordEst,0.021824769223179538,0.03349507644756005,Moderate (10001-50000)
2022,Emilia Romagna,M,1103140,NordEst,0.037607698267831696,0.046991315698823366,High (50001-100000)
2022,Friuli Venezia Giulia,F,230742,NordEst,0.004975377034623052,0.029721507137842263,Low (1001-10000)
2022,Friuli Venezia Giulia,M,289775,NordEst,0.007275890387902391,0.03460961090501251,Moderate (10001-50000)
2022,Lazio,F,1020342,Centro,0.01809069724925057,0.0244388646159817,Moderate (10001-50000)
2022,Lazio,M,1300541,Centro,0.02138367426297965,0.022663645359892536,Moderate (10001-50000)
2022,Liguria,F,266341,NordOvest,0.01024022263687728,0.05299597132998675,Moderate (10001-50000)
2022,Liguria,M,349775,NordOvest,0.010308418239276605,0.040623257808591245,Moderate (10001-50000)
2022,Lombardia,F,1927460,NordOvest,0.04055969726956416,0.02900553059466864,High (50001-100000)
2022,Lombardia,M,2496936,NordOvest,0.0555598278568879,0.03067079012037153,High (50001-100000)
2022,Marche,F,282538,Centro,0.005380197738227553,0.026247796756542482,Low (1001-10000)
2022,Marche,M,356723,Centro,0.008330020284564288,0.032187439553939615,Moderate (10001-50000)
2022,Molise,F,40793,Sud,0.000724034161643891,0.02446498173706273,Very low (1-1000)
2022,Molise,M,62300,Sud,0.001038894708891836,0.022985553772070625,Low (1001-10000)
2022,Piemonte,F,797062,NordOvest,0.018432400746379106,0.0318758139266456,Moderate (10001-50000)
2022,Piemonte,M,988256,NordOvest,0.02106228434954454,0.029377003529449858,Moderate (10001-50000)
2022,Puglia,F,453082,Sud,0.007781553524842062,0.023673418939617993,Moderate (10001-50000)
2022,Puglia,M,813545,Sud,0.013692806379626056,0.023199700078053456,Moderate (10001-50000)
2022,Sardegna,F,238337,0,0.0,0.0,No injuries
2022,Sardegna,M,327814,0,0.0,0.0,No injuries
2022,Sicilia,F,482748,Sud,0.009144014602564737,0.02610886010920812,Moderate (10001-50000)
2022,Sicilia,M,854269,Sud,0.01460619216069786,0.02356751795979955,Moderate (10001-50000)
2022,Toscana,F,730298,Centro,0.01596937872355244,0.030141120474107826,Moderate (10001-50000)
2022,Toscana,M,887415,Centro,0.02258290118602309,0.03507716231977147,Moderate (10001-50000)
2022,Total,F,9749198,Total,0.20515486205625702,0.029005770525944802,Extremely High (200001+)
2022,Total,M,13350193,Total,0.29484513794374295,0.03044233143296131,Extremely High (200001+)
2022,Trentino Alto Adige,F,230103,NordEst,0.005142238614961825,0.03080359665019578,Low (1001-10000)
2022,Trentino Alto Adige,M,276217,NordEst,0.011641134426591062,0.05809200737101627,Moderate (10001-50000)
2022,Umbria,F,157830,Centro,0.003045586583748552,0.026598238611163907,Low (1001-10000)
2022,Umbria,M,194468,Centro,0.004735966941093509,0.03356850484398462,Low (1001-10000)
2022,Valle D'Aosta,F,26050,NordOvest,0.000552094185381764,0.029213051823416505,Very low (1-1000)
2022,Valle D'Aosta,M,29114,NordOvest,0.0006587404997721969,0.031187744727622445,Very low (1-1000)
2022,Veneto,F,928534,NordEst,0.02414922358581183,0.03584898345133296,Moderate (10001-50000)
2022,Veneto,M,1216827,NordEst,0.0372217401776568,0.04216375869371735,High (50001-100000)
2023,Abruzzo,F,212042,Sud,0.004395001984839606,0.008771847086897879,Low (1001-10000)
2023,Abruzzo,M,290074,Sud,0.0073935275325608205,0.010786902652426622,Low (1001-10000)
2023,Basilicata,F,73520,Sud,0.001509895843178768,0.008691512513601741,Very low (1-1000)
2023,Basilicata,M,120655,Sud,0.002497589837621217,0.0087605155194563,Low (1001-10000)
2023,Calabria,F,196407,Sud,0.0029205497060547057,0.006293054728191969,Low (1001-10000)
2023,Calabria,M,342776,Sud,0.005283453998979225,0.006523210493150046,Low (1001-10000)
2023,Campania,F,589552,Sud,0.0074596888527627084,0.005354913561483974,Low (1001-10000)
2023,Campania,M,1094401,Sud,0.0138867885295174,0.005370060882619807,Low (1001-10000)
2023,Emilia Romagna,F,908128,NordEst,0.026580310391107923,0.012387020331935587,Moderate (10001-50000)
2023,Emilia Romagna,M,1115022,NordEst,0.04841118315343755,0.018374525345688248,Moderate (10001-50000)
2023,Friuli Venezia Giulia,F,231915,NordEst,0.005945067200998091,0.010848802362934696,Low (1001-10000)
2023,Friuli Venezia Giulia,M,288001,NordEst,0.009598117237859399,0.014104117694035785,Low (1001-10000)
2023,Lazio,F,1037458,Centro,0.01654269295476456,0.006748224988385072,Low (1001-10000)
2023,Lazio,M,1337948,Centro,0.023903139827224442,0.007560831960584418,Moderate (10001-50000)
2023,Liguria,F,280746,NordOvest,0.007256479083571199,0.010938713285318402,Low (1001-10000)
2023,Liguria,M,352271,NordOvest,0.011679835919925899,0.014031810736620387,Low (1001-10000)
2023,Lombardia,F,1978916,NordOvest,0.04058524413527154,0.00867949928142478,Moderate (10001-50000)
2023,Lombardia,M,2521800,NordOvest,0.07186300826071342,0.012060036481878025,Moderate (10001-50000)
2023,Marche,F,284720,Centro,0.005767849379028752,0.008573335206518685,Low (1001-10000)
2023,Marche,M,356387,Centro,0.010543278955029205,0.01252009753442185,Low (1001-10000)
2023,Molise,F,42427,Sud,0.0006568873934330161,0.00655243123482688,Very low (1-1000)
2023,Molise,M,63886,Sud,0.001098750496209901,0.007278589988416868,Very low (1-1000)
2023,Piemonte,F,798529,NordOvest,0.017459499820419274,0.009253264439989032,Low (1001-10000)
2023,Piemonte,M,1002332,NordOvest,0.026202245704239995,0.011063200616163107,Moderate (10001-50000)
2023,Puglia,F,469897,Sud,0.009184608986597608,0.008272025571561427,Low (1001-10000)
2023,Puglia,M,822749,Sud,0.017535112757792858,0.009019761798555816,Low (1001-10000)
2023,Sardegna,F,247647,0,0.0,0.0,No injuries
2023,Sardegna,M,329062,0,0.0,0.0,No injuries
2023,Sicilia,F,516568,Sud,0.008891608854274966,0.00728461693329823,Low (1001-10000)
2023,Sicilia,M,894208,Sud,0.01662539460501692,0.007868415402233037,Low (1001-10000)
2023,Toscana,F,728098,Centro,0.017083798037844277,0.009929981952978856,Low (1001-10000)
2023,Toscana,M,899937,Centro,0.028253246630498483,0.013286485609548225,Moderate (10001-50000)
2023,Total,F,9988556,Total,0.183385002173872,0.007769891864249447,High (50001-100000)
2023,Total,M,13591391,Total,0.31661499782612806,0.009858740727862216,Very High (100001-200000)
2023,Trentino Alto Adige,F,231241,NordEst,0.006975293472713181,0.012765902240519631,Low (1001-10000)
2023,Trentino Alto Adige,M,276467,NordEst,0.014456248464112208,0.022129223379282158,Low (1001-10000)
2023,Umbria,F,160107,Centro,0.003648324228275458,0.009643550875352108,Low (1001-10000)
2023,Umbria,M,201489,Centro,0.00654051908281507,0.013737722654834755,Low (1001-10000)
2023,Valle D'Aosta,F,26767,NordOvest,0.000522201848736318,0.00825643516270034,Very low (1-1000)
2023,Valle D'Aosta,M,30046,NordOvest,0.0008435568325740531,0.011881781268721294,Very low (1-1000)
2023,Veneto,F,973871,0,0.0,0.0,No injuries
2023,Veneto,M,1251880,0,0.0,0.0,No injuries
2024,Abruzzo,F,0,Sud,0.0039889990524393905,0.0,Low (1001-10000)
2024,Abruzzo,M,0,Sud,0.006970348286301972,0.0,Low (1001-10000)
2024,Basilicata,F,0,Sud,0.001398229679447179,0.0,Very low (1-1000)
2024,Basilicata,M,0,Sud,0.00243130185583212,0.0,Low (1001-10000)
2024,Calabria,F,0,Sud,0.003036816196353047,0.0,Low (1001-10000)
2024,Calabria,M,0,Sud,0.005463495805310962,0.0,Low (1001-10000)
2024,Campania,F,0,Sud,0.00671150246134646,0.0,Low (1001-10000)
2024,Campania,M,0,Sud,0.013686472994522638,0.0,Low (1001-10000)
2024,Emilia Romagna,F,0,NordEst,0.027067877695347707,0.0,Moderate (10001-50000)
2024,Emilia Romagna,M,0,NordEst,0.04727865215281148,0.0,Moderate (10001-50000)
2024,Friuli Venezia Giulia,F,0,NordEst,0.005923409369294415,0.0,Low (1001-10000)
2024,Friuli Venezia Giulia,M,0,NordEst,0.009454805981187456,0.0,Low (1001-10000)
2024,Lazio,F,0,Centro,0.01597910744412859,0.0,Low (1001-10000)
2024,Lazio,M,0,Centro,0.023950172178696064,0.0,Moderate (10001-50000)
2024,Liguria,F,0,NordOvest,0.0070489264831634655,0.0,Low (1001-10000)
2024,Liguria,M,0,NordOvest,0.011349927199611731,0.0,Low (1001-10000)
2024,Lombardia,F,0,NordOvest,0.041059418983567915,0.0,Moderate (10001-50000)
2024,Lombardia,M,0,NordOvest,0.07093762277843259,0.0,Moderate (10001-50000)
2024,Marche,F,0,Centro,0.005622963322471053,0.0,Low (1001-10000)
2024,Marche,M,0,Centro,0.0104092999607109,0.0,Low (1001-10000)
2024,Molise,F,0,Sud,0.0006193810811435431,0.0,Very low (1-1000)
2024,Molise,M,0,Sud,0.001206406434167648,0.0,Very low (1-1000)
2024,Piemonte,F,0,NordOvest,0.017589960479789227,0.0,Low (1001-10000)
2024,Piemonte,M,0,NordOvest,0.026822898611014816,0.0,Moderate (10001-50000)
2024,Puglia,F,0,Sud,0.009556495412419977,0.0,Low (1001-10000)
2024,Puglia,M,0,Sud,0.01775867249069773,0.0,Low (1001-10000)
2024,Sicilia,F,0,Sud,0.009031870392197648,0.0,Low (1001-10000)
2024,Sicilia,M,0,Sud,0.016785689523677462,0.0,Low (1001-10000)
2024,Toscana,F,0,Centro,0.017074579953315308,0.0,Low (1001-10000)
2024,Toscana,M,0,Centro,0.029013843629388244,0.0,Moderate (10001-50000)
2024,Total,F,0,Total,0.18365804617624623,0.0,High (50001-100000)
2024,Total,M,0,Total,0.3163419538237537,0.0,Very High (100001-200000)
2024,Trentino Alto Adige,F,0,NordEst,0.00755275139245187,0.0,Low (1001-10000)
2024,Trentino Alto Adige,M,0,NordEst,0.015468349164528878,0.0,Low (1001-10000)
2024,Umbria,F,0,Centro,0.0038457093993390177,0.0,Low (1001-10000)
2024,Umbria,M,0,Centro,0.00651967921606693,0.0,Low (1001-10000)
2024,Valle D'Aosta,F,0,NordOvest,0.00055004737803046,0.0,Very low (1-1000)
2024,Valle D'Aosta,M,0,NordOvest,0.0008343155607941021,0.0,Very low (1-1000)
